Peptide(s),Gene(s) for Genotyping,Rationale,Refs,,Refs
GHK-Cu + BPC-157 + TB-500,"COL1A1, COL1A2, SMYD3",Predict ECM repair capacity and collagen synthetic response,[1-3],,1
CJC-1295 + Ipamorelin,GHSR (GHS-R1a),Identify loss-of-function receptor variants that blunt GH secretagogue response,[4-7],,Injectable Peptide Therapy: A Primer for Orthopaedic and Sports Medicine Physicians.
BPC-157 + TB-500,NOS3 (eNOS),Predict NO-dependent angiogenic and healing response,[8-9],,"The American Journal of Sports Medicine. 2026. Mayfield CK, Bolia IK, Feingold CL, et al.New"
AOD-9604,ADRB3 (Î²3-AR),Predict lipolytic response; Trp64Arg variant impairs Î²3-AR function,[10],,2
MOTS-c,mtDNA m.1382A>C,K14Q substitution in MOTS-c peptide reduces insulin-sensitizing activity (males),[11],,Safety and Efficacy of Approved and Unapproved Peptide Therapies for Musculoskeletal Injuries and Athletic Performance.
Epithalon,"TERT (VNTR2-1, rs2736100)",Stratify telomerase activation benefit vs. cancer risk,[12-14],,"Sports Medicine. 2026. Mendias CL, Awan TM.NewReview"
Thymosin Alpha-1,"TLR2, TLR4, TLR9",Predict immunomodulatory response via TLR-dependent DC activation,[15-17],,3
Matrixyl,"COL1A1 (Sp1 site), IRF4",Predict collagen synthesis upregulation capacity,"[2-3, 18]",,Multifunctionality and Possible Medical Application of the BPC 157 Peptide-Literature and Patent Review.
Argireline,SNAP25 (rs6104571),Predict SNARE-complex modulation efficacy (parallels BoNT-A pharmacogenomics),[19-20],,"Pharmaceuticals. 2025. Józwiak M, Bauer M, Kamysz W, Kleczkowska P.Review"
SNAP-8,"SNAP25, SV2C (rs31244)",Predict neuromodulatory efficacy and duration,"[19, 21]",,4
,,,,,GHK Peptide as a Natural Modulator of Multiple Cellular Pathways in Skin Regeneration.
,,,,,"BioMed Research International. 2014. Pickart L, Vasquez-Soltero JM, Margolina A.Review"
,,,,,5
,,,,,Bioactive oligopeptides in dermatology: Part I.
,,,,,"Experimental Dermatology. 2012. Reddy B, Jow T, Hantash BM.Review"
,,,,,6
,,,,,Deciphering the Molecular Clock: Exploring Molecular Mechanisms and Genetic Influences on Skin Ageing.
,,,,,"Biogerontology. 2025. Ng HY, Wu YS, Biswas M, Sim MS.NewReview"
,,,,,7
,,,,,NF-?B Accumulation Associated With COL1A1 Transactivators Defects During Chronological Aging Represses Type I Collagen Expression Through a -112/­-61-Bp Region of the COL1A1 Promoter in Human Skin Fibroblasts.
,,,,,"The Journal of Investigative Dermatology. 2012. Bigot N, Beauchef G, Hervieu M, et al."
,,,,,8
,,,,,"Ghrelin and Growth Hormone (GH) Secretagogues Potentiate GH-releasing Hormone (GHRH)-induced Cyclic Adenosine 3',5'-Monophosphate Production in Cells Expressing Transfected GHRH and GH Secretagogue Receptors."
,,,,,"Endocrinology. 2002. Cunha SR, Mayo KE."
,,,,,9
,,,,,Growth Hormone-Releasing Hormone as an Agonist of the Ghrelin Receptor GHS-R1a.
,,,,,"Proceedings of the National Academy of Sciences of the United States of America. 2008. Casanueva FF, Camiña JP, Carreira MC, et al."
,,,,,10
,,,,,Identification and Functional Analysis of Novel Human Growth Hormone Secretagogue Receptor (GHSR) Gene Mutations in Japanese Subjects With Short Stature.
,,,,,"The Journal of Clinical Endocrinology and Metabolism. 2011. Inoue H, Kangawa N, Kinouchi A, et al."
,,,,,11
,,,,,GH Secretagogue Receptor Gene Polymorphisms Are Associated With Stature Throughout Childhood.
,,,,,"European Journal of Endocrinology. 2012. Riedl S, Hughes I, Harris M, et al."
,,,,,12
,,,,,Variations in the Ghrelin Receptor Gene Associate With Obesity and Glucose Metabolism in Individuals With Impaired Glucose Tolerance.
,,,,,"PloS One. 2008. Mager U, Degenhardt T, Pulkkinen L, et al."
,,,,,13
,,,,,Ghrelin Receptor Mutations and Human Obesity.
,,,,,"Progress in Molecular Biology and Translational Science. 2016. Wang W, Tao YX.Review"
,,,,,14
,,,,,"BPC 157 Therapy: Targeting Angiogenesis and Nitric Oxide's Cytotoxic and Damaging Actions, but Maintaining, Promoting, or Recovering Their Essential Protective Functions. Comment on Józwiak Et Al. Multifunctionality and Possible Medical Application of the BPC 157 Peptide-Literature and Patent Review. Pharmaceuticals 2025, 18, 185."
